Testing Loss: 0.20456693693995476, Accuracy: 0.9298831385642737
Testing Loss: 0.0009587706786987838, Accuracy: 1.0
Testing Loss: 0.004219296153070218, Accuracy: 0.998330550918197
Testing Loss: 0.006715275177487001, Accuracy: 0.998330550918197
Testing Loss: 0.0012696309223883873, Accuracy: 1.0
Testing Loss: 0.001537694926810218, Accuracy: 1.0
Testing Loss: 0.0008634133142550127, Accuracy: 1.0
Testing Loss: 0.00027111636300105604, Accuracy: 1.0
Testing Loss: 8.586846488469745e-05, Accuracy: 1.0
Testing Loss: 0.0009375501595059177, Accuracy: 1.0
Testing Loss: 0.003081782073240902, Accuracy: 0.998330550918197
Testing Loss: 0.010822304929752136, Accuracy: 0.996661101836394
Testing Loss: 0.009811935531979543, Accuracy: 0.996661101836394
