Testing Loss: 0.6046578258275985, Accuracy: 0.7245409015025042
Testing Loss: 0.16456699343398212, Accuracy: 0.9666110183639399
Testing Loss: 0.09434242881834506, Accuracy: 0.9799666110183639
Testing Loss: 0.09969741552486085, Accuracy: 0.9732888146911519
Testing Loss: 0.04824330920237117, Accuracy: 0.988313856427379
Testing Loss: 0.04187633626861498, Accuracy: 0.989983305509182
Testing Loss: 0.0321174067503307, Accuracy: 0.993322203672788
Testing Loss: 0.036127669698907995, Accuracy: 0.993322203672788
Testing Loss: 0.021215430437587203, Accuracy: 0.991652754590985
Testing Loss: 0.023537470355222467, Accuracy: 0.993322203672788
Testing Loss: 0.03689012989634648, Accuracy: 0.986644407345576
Testing Loss: 0.08269334696233273, Accuracy: 0.9682804674457429
Testing Loss: 0.11144529245793819, Accuracy: 0.9582637729549248
