Unnamed: 0,Context,Verb.form,Recipient,Theme,morph_case
0,"boys will be boys.”  oh-my-gosh.  don’t give me that. like, looking back on that now, i’m-lik",give,me,that,dat
1,some money.”  “dad gave you money?” “i mean you gave me money.”  that was me.  “i mean you,gave,me,money,dat
2,"was-like, “yeah, he gave me some money.”  “dad gave you money?” “i mean you gave me money.”  th",gave,you,money,dat
3,"the work and stuff. course your friends wouldn‘t give you work. they give you like, fun stuff.  wh",give,you,work,dat
4,"ke, we used to have a milk program, so like, they gave us milk, right, and she’d always tell us weird st",gave,us,milk,dat
5,"e goes- and then, his brother comes to the door to give you candy and then he leaves and then he lies ba",give,you,candy,dat
6,"y it to like annoy me or something.  and he just gives me headaches when he does that like, “oh g-d, sto",gives,me,headaches,dat
7,"ive me milk, i drink it and sleep. i wake up, you give  me milk, i drink it and sleep. that’s all i do.",give,me,milk,dat
8,"leep, or eat.” so, when i wake up, okay, you just give me milk, i drink it and sleep. i wake up, you gi",give,me,milk,dat
9,"like, people i know, i don’t even say “hi”, i just give them looks, like, “oh, hi,” like, in a way of th",give,them,looks,dat
10,"re-like, “are you still dating kevin?” like, they give you this, things more and you’re-like, “weird”,",give,you,this,dat
11,"what else, they yell at me a lot, my dad likes to give me lectures. not when i’m in trouble, he just t",give,me,lectures,dat
12,"we’re like doing they’re job for them, now they’re giving us something back.   right. yeah, oh that’s",giving,us,something,dat
13,"w sightseeing and do what you want, you-know they give us curfew and we just kind-of like roam around,",give,us,curfew,dat
14,"d these guys ar-- ain 't so bad either."" they 're giving me support they 're saying, ""yeah i was like you ",giving,me,support,dat
15,e all going to read it and then they 're going to give you sympathies. as opposed to when you 're talkin,give,you,sympathies,dat
16,"ts or whatever just to entertain them, right? and give them info because they are really new, right? and",give,them,info,dat
17,"t too much,  okay  and plus she would like give us treat sometimes, although like- although like",give,us,treat,dat
18,i were playing in the n-h-l i 'd stay in but i 'd give my knee time. i would- i 'd like help it skate i,give,my knee,time,dat
19,e the t-t-c card-  very interesting.  so i gave him money for it.  a student card?  laugh,gave,him,money,dat
20,ut uh sometimes i feel sisterly towards him like i give him advice and i kind-of lecture him sometimes y,give,him,advice,dat
21,dances but semi-formal might be- the- their still giving us semi-formal right but like that 's it that 's,giving,us,semi-formal,dat
22,"""lorene go outside."" so i 'd go outside and he 'd give - give me shit that i don 't come to class yet he",give,me,shit,dat
23,dy and like for -- she 'll randomly like just like give us shit 'cause she thinks it 'll make my dad mad,give,us,shit,dat
24,but like she 's always telling us what to do and giving us shit about stuff and she 's kind-of moody. i,giving,us,shit,dat
25,r the d-v-d-player. and then he takes up- like he gives us shit that we need to be studying but takes up,gives,us,shit,dat
26,her  oh that ‘s right  when dan wanted to give me beer and then he like popped it open for me a,give,me,beer,dat
27,"m- i have a aunt name sandy, and she um picks who gives us present to who, but nobody knows except her li",gives,who,present,dat
28,"s grandma ‘s like ninety-two, she ‘s like “johnny give me coffee.” and this is- it ‘s- it ‘s- i have a s",give,me,coffee,dat
29,ouldn 't give them to you?  well they didn 't give me any so i 'm just assuming. and so they gave- t,give,me,any,dat
30,i need. i need a yes or a no.  well i can 't give you one 'cause i don 't know.  what if you cam,give,you,one,dat
