Unnamed: 0,Context,Response.variable,Possessor,Possessum,morph_case
0,"i don 't know exactly know what &the rules& of $the game$ were,",of-genitive,the game,the rules,gen
1,"i always figured that's one of $the thing$s about &the politics& of the things, ",of-genitive,the thing,the politics,gen
2,...we were all skateboarding by $tim swiss$'s &house&. ,s-genitive,tim swiss,house,gen
3," was it a good guitar or was it just a-?  it was like a yamaha-etern-- you-know, it was like $a beginner$'s &thing&,",s-genitive,a beginner,thing,gen
4,her parents gave me a painting that her grandfather had made for <&the wedding& of $somebody else$>,of-genitive,somebody else,the wedding,gen
5,"and they dressed like tarts and they had heavy make-up, and i was li-- basically &the exact opposite& of $shana$, really.",of-genitive,shana,the exact opposite,gen
6,"she had said, ""well i'm gonna give you &the number& of $lindsay$.""",of-genitive,lindsay,the number,gen
7,"she said. ""i'm gonna give you $lindsay$'s &number& because she's taking e-c-e too",s-genitive,lindsay,number,gen
8,"we went to the bar together, but when she gave me $lindsay$'s &number& she gave me my-",s-genitive,lindsay,number,gen
9,"they 're drawing on that, the idea of <&the feminine face& of $god$>, 'cause we just don 't have that, i-mean in the west you just don 't have that.",of-genitive,god,the feminine face,gen
10,i think the statistic i read yesterday in $the doctor$'s &office& was four out of five people won 't even realize that they have it.,s-genitive,the doctor,office,gen
11,and explained too all &the lives& of $buddha$ and he explained that. ,of-genitive,buddha,the lives,gen
12,our federal government was respondent and perhaps bending over too much to- to acquiescing too much to- to $americans$' &grand plan& to have one defense system for north-america.,s-genitive,americans,grand plan,gen
13,"you-know, generally speaking &the commitment& of $the teacher$s to the community,",of-genitive,the teacher,the commitment,gen
14,"um, i- i 've already told you what $my father$'s &involvement& in school was.  ",s-genitive,my father,involvement,gen
15,"you-know, generally speaking &the commitment& of $the teachers$ to the community,",of-genitive,the teachers,the commitment,gen
16,ah named after lucy one of &the kids& of $mister-harris$.,of-genitive,mister-harris,the kids,gen
17,although i mean this is the s-- &the thinking& of $the boys$.,of-genitive,the boys,the thinking,gen
18,"that 's the, actually, garage of ou$r next-door neighbour&&$he, actually, garage of our next-door neighbour.",of-genitive,our next-door neighbour,the garage,gen
19,and seemed to really appreciate the ah different diversities of the- of $the kid$s' &backgrounds&.,s-genitive,the kid,backgrounds,gen
20,"thereãd be a golf course for $everybody$'s &liking& in this area, be at least fifty or sixty golf courses.",s-genitive,everybody,liking,gen
21,and jazz was $the devil$'s &music& and all they taught was classical music you-know?,s-genitive,the devil,music,gen
