Line,Construction,verb,rec,rec.def,rec.pron,rec.anim,thm,thm.def,thm.pron,thm.anim
and she showed it to Scott and said look .,showed it to Scott,showed,Scott,Def-pn,non,Anim,it,Def,pronoun,Inanim
and then you send them to people and they put them in their soil .,send them to people,send,people,Indef,non,Anim,them,Def,pronoun,Inanim
that I bring maturity to this relationship,bring maturity to this relationship,bring,this relationship,Def,non,Inanim,maturity,Indef,non,Inanim
ahh I think I gave them to my friends and they were like .   kind,gave them to my friends,gave,my friends,Def,non,Anim,them,Def,pronoun,Inanim
he thought he didn't want to give it to the bus driver he wanted the extra for . sweets -,give it to the bus driver,give,the bus driver,Def,non,Anim,it,Def,pronoun,Inanim
oh we had to . allot half of it to your parents .,allot half of it to your parents .,allot,your parents,Def,non,Anim,half of it,Indef,non,Inanim
take him to the hospital take him to the and we were all having this big argument like .,take him to the hospital,take,the hospital,Def,non,Inanim,him,Def,pronoun,Anim
even though you've pushed it in you have to take it out and push it in again it's a stupid disk I should never have given it to him I should have given him another one   and,given it to him,given,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
but then . um Grant my partner ended up taking me to hospital that night .,taking me to hospital,taking,hospital,Def,non,Inanim,me,Def,pronoun,Anim
go out and about and . take Hayden to the park and .  McDonald's,take Hayden to the park,take,the park,Def,non,Inanim,Hayden,Def-pn,non,Anim
I think they sold that to the government and they built one down at . ahh Wye  Creek,sold that to the government,sold,the government,Def,non,Inanim,that,Def,pronoun,Inanim
and somebody would give it to somebody else and,give it to somebody else,give,somebody else,Indef,non,Anim,it,Def,pronoun,Inanim
<yes > in wonderful repair I could show it to you it's in beautiful repair,show it to you,show,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
er the Russian orthodox church couldn't make any financial contribution,make any financial contribution   to the world council of churches,make,the world council of churches,Def,non,Inanim,any financial contribution,Indef,non,Inanim
 -- he was sure he told the Government as they had so much surplus milk . why didn't they give it to the kids ?,give it to the kids ?,give,the kids,Def,non,Anim,it,Def,pronoun,Inanim
so I better write a letter of thanks to her so <yeah>,write a letter of thanks to her,write,her,Def,pronoun,Anim,a letter of thanks,Indef,non,Inanim
I had it all . and I gave it to Len .,gave it to Len .,gave,Len,Def-pn,non,Anim,it,Def,pronoun,Inanim
and they took him to hospital and he was haemorrhaging .,took him to hospital,took,hospital,Def,non,Inanim,him,Def,pronoun,Anim
yes but it made no difference to me I'm afraid,made no difference to me,made,me,Def,pronoun,Anim,no difference,Indef,non,Inanim
and he got up one morning and was fine I took Owen to school and when I came home .,took Owen to school,took,school,Def,non,Inanim,Owen,Def-pn,non,Anim
