Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
somebody else's point of view,somebody else's point of view,S,somebody else,Indef,n,Anim,point of view,n,Inanim
the sinking of the Rainbow Warrior which is bad enough but,the sinking of the Rainbow Warrior,OF,the Rainbow Warrior,Def,n,Inanim,the sinking,n,Inanim
purpose of our trip is to go an visit relatives,the main um . purpose of our trip,OF,our trip,Def,n,Inanim,the main purpose,n,Inanim
with old people in old people's homes and that and,old people's homes,S,old people,Indef,n,Anim,homes,n,Inanim
the wife of the person who owned it then,the wife of the person who owned it then,OF,the person who owned it then,Def,n,Anim,the wife,n,Anim
that's why he did an electrician's apprenticeship he,an electrician's apprenticeship,S,an electrician,Indef,n,Anim,apprenticeship,n,Inanim
by the size of the -,the size of the - meal that he had,OF,the meal that he had,Def,n,Inanim,the size,n,Inanim
just by looking at someone's plate if I .,someone's plate,S,someone,Indef,n,Anim,plate,n,Inanim
if they are diabetic I could look at someone's plate and think --,someone's plate,S,someone,Indef,n,Anim,plate,n,Inanim
end of february I think,end of february,OF,february,Def-pn,n,Inanim,end,n,Inanim
pressure of work and that sort of thing,pressure of work,OF,work,Indef,n,Inanim,pressure,n,Inanim
I'd said that I would finish at the end of the year -,the end of the year -,OF,the year,Def,n,Inanim,the end,n,Inanim
and the force of gravity's very low at near ground level,the force of gravity's,OF,gravity,Indef,n,Inanim,the force,n,Inanim
and then a plank across the top of the bucket,the top of the bucket,OF,the bucket,Def,n,Inanim,the top,n,Inanim
I don't think that the law of the gnomes would allow that .,the law of the gnomes,OF,the gnomes,Def,n,Inanim,the law,n,Inanim
lots of little wee things that look like the head of a match   and,the head of a match,OF,a match,Indef,n,Inanim,the head,n,Inanim
and  um I thought they'd be frozen solid cos the lid . of the worm can was stuck to the side,the lid . of the worm can,OF,the worm can,Def,n,Inanim,the lid,n,Inanim
there was no other houses either side . and Keith's Dad,Keith's Dad,S,Keith,Def-pn,n,Anim,Dad,n,Anim
. down at the end of the first section . what they call stage one,the end of the first section .,OF,the first section,Def,n,Inanim,the end,n,Inanim
they've got this great big long . hallway through the centre of the house,the centre of the house,OF,the house,Def,n,Inanim,the centre,n,Inanim
and that was Mum's parents,Mum's parents,S,Mum,Def-pn,n,Anim,parents,n,Anim
yeah I really hope by God's grace I'm able to .,God's grace,S,God,Def-pn,n,Anim,grace,n,Inanim
and as for my Dad's parents .,Dad's parents,S,Dad,Def-pn,n,Anim,parents,n,Anim
Dad's father is of .,Dad's father,S,Dad,Def-pn,n,Anim,father,n,Anim
and Dad's Mum -,Dad's Mum -,S,Dad,Def-pn,n,Anim,Mum,n,Anim
Dad's side of the family - umm -,Dad's side of the family -,S,Dad,Def-pn,n,Anim,side of the family,n,Inanim
always used to that was dad's mother,dad's mother,S,dad,Def-pn,n,Anim,mother,n,Anim
the trailer in at the side of the tent,the side of the tent,OF,the tent,Def,n,Inanim,the side,n,Inanim
I says oh I'd like to go round to the front of the house-,the front of the house-,OF,the house,Def,n,Inanim,the front,n,Inanim
and took me round to the front of the house.,the front of the house.,OF,the house,Def,n,Inanim,the front,n,Inanim
somebody else's car so he didn't know,somebody else's car,S,somebody else,Indef,n,Anim,car,n,Inanim
it damaged everything right down to the bottom of me.,the bottom of me. shoulder blades.,OF,me shoulder blades,Def,n,Inanim,the bottom,n,Inanim
which runs up the side of your thing.,the side of your thing.,OF,your thing,Def,n,Inanim,the side,n,Inanim
and I've got my father's figure,my father's figure,S,my father,Def,n,Anim,figure,n,Inanim
and he is on the other end of this um,the other end of this um report,OF,this report,Def,n,Inanim,the other end,n,Inanim
you know I I had I've had beautiful homes I said and I was so proud of my homes that I really looked after <mmm> no way I would do that to somebody else's home,somebody else's home,S,somebody else,Indef,n,Anim,home,n,Inanim
um but Murray's mother and father really did like to keep it nice and we . most beau- incredible garden .,Murray's mother and father,S,Murray,Def-pn,n,Anim,mother and father,n,Anim
<mmm> cos it's quite sad we've got a family wedding at Easter . my brother's daughter's g- . only daughter's getting married . eighteen .,my brother's daughter's g- . only daughter's,S,my brother,Def,n,Anim,only daughter,n,Anim
<congratulations> yes <oh well you're lucky you got wee grand> and all Murray's yeah . none of our all - Murray's brothers . none of them .,Murray's brothers .,S,Murray,Def-pn,n,Anim,brothers,n,Anim
<oh> . yeah I know it's really incredible so and then Murray's brother's oldest . son is getting married on the twentieth of November so,Murray's brother's,S,Murray,Def-pn,n,Anim,brother,n,Anim
<oh> . yeah I know it's really incredible so and then Murray's brother's oldest . son is getting married on the twentieth of November so,Murray's brother's oldest . son,S,Murray's brother,Def,n,Anim,oldest son,n,Anim
<oh> . yeah I know it's really incredible so and then Murray's brother's oldest . son is getting married on the twentieth of November so,the twentieth of November,OF,November,Def-pn,n,Inanim,the twentieth,n,Inanim
it <oh> can actually upset girls' hormones,girls' hormones,S,girls,Indef,n,Anim,hormones,n,Inanim
and we're like  the end of their tour -,the end of their tour -,OF,their tour,Def,n,Inanim,the end,n,Inanim
and . to be performing . that amount of energy at the end of a tour is just .,the end of a tour,OF,a tour,Indef,n,Inanim,the end,n,Inanim
wanting to come round all the time and . she lived on the other side of town  and .,the other side of town,OF,town,Indef,n,Inanim,the other side,n,Inanim
we actually had to move in there and I think that was the worst mistake of my life .,the worst mistake of my life .,OF,my life,Def,n,Inanim,the worst mistake,n,Inanim
Ken's mother being my only mother now that I have got and her,Ken's mother,S,Ken,Def-pn,n,Anim,mother,n,Anim
of corrugated iron . balls on the end of sticks,the end of sticks,OF,sticks,Indef,n,Inanim,the end,n,Inanim
too much -- um in in tidyingup and selling his mother's house .,his mother's house .,S,his mother,Def,n,Anim,house,n,Inanim
in the middle of that circled area we've put a wooden .,the middle of that circled area,OF,that circled area,Def,n,Inanim,the middle,n,Inanim
um Ken's mother is much like his mother in that it takes some time,Ken's mother,S,Ken,Def-pn,n,Anim,mother,n,Anim
Ken's car drives over it and they go squish on the drive and he doesn't like it .,Ken's car,S,Ken,Def-pn,n,Anim,car,n,Inanim
um yeah i think that's about all Charlotte i can think of er off the top of my head,the top of my head,OF,my head,Def,n,Inanim,the top,n,Inanim
yes that's her brother's fault,her brother's fault,S,her brother,Def,n,Anim,fault,n,Inanim
Ang's mate wasn't there maybe she had to go home early or something <uh huh> .,Ang's mate,S,Ang,Def-pn,n,Anim,mate,n,Anim
cos you know a silly boys' . prank <okay> like that couldn't affect somebody's head who's in their thirties <yeah> .,somebody's head,S,somebody,Indef,n,Anim,head,n,Inanim
and as we waved them all off . we would jump in the car and head to Greymouth for tea with Rod's family .,Rod's family .,S,Rod,Def-pn,n,Anim,family,n,Anim
and had some wonderful New Years <yeah> with parents .   Scott's Rod's,Rod's parents .,S,Rod,Def-pn,n,Anim,parents,n,Anim
Scott's nana and grandad were only too happy to get the kids to themselves,Scott's nana and grandad,S,Scott,Def-pn,n,Anim,nana and grandad,n,Anim
we've seen too many . friends and people dying far too young Rod's sister didn't make sixty .,Rod's sister,S,Rod,Def-pn,n,Anim,sister,n,Anim
yeah but what George's wife did she didn't get any did she?,George's wife,S,George,Def-pn,n,Anim,wife,n,Anim
<George's wife?> or didn't she want any? . not George's wife [laughs] um,George's wife [laughs],S,George,Def-pn,n,Anim,wife,n,Anim
yeah well they've just left there on when the sixth of April .,the sixth of April .,OF,April,Def-pn,n,Inanim,the sixth,n,Inanim
in the bottom of your tooth and then they put the .,the bottom of your tooth,OF,your tooth,Def,n,Inanim,the bottom,n,Inanim
yeah they ruined Tracey's nails I reckon,Tracey's nails,S,Tracey,Def-pn,n,Anim,nails,n,Inanim
because of Olive's birthday's on the ninth is that in the holidays?,Olive's birthday's,S,Olive,Def-pn,n,Anim,birthday,n,Inanim
Warepa . that's Bruce Harrington's sister .,Bruce Harrington's sister .,S,Bruce Harrington,Def-pn,n,Anim,sister,n,Anim
but I do the inside of her great big sliding doors,the inside of her great big sliding doors,OF,her great big sliding doors,Def,n,Inanim,the inside,n,Inanim
I I went over and cleaned Dorrie's windows and it was getting late .,Dorrie's windows and,S,Dorrie,Def-pn,n,Anim,windows,n,Inanim
his wife's name's Jean too,his wife's name's,S,his wife,Def,n,Anim,name,n,Inanim
ahh I dunno cos Dad's sister was (?),Dad's sister,S,Dad,Def-pn,n,Anim,sister,n,Anim
well Margaret's Les is um Alan's brother,Margaret's Les,S,Margaret,Def-pn,n,Anim,Les,n,Anim
well Margaret's Les is um Alan's brother,Alan's brother,S,Alan,Def-pn,n,Anim,brother,n,Anim
she used to help me mow Olive's on the school holidays  lawns,Olive's lawns,S,Olive,Def-pn,n,Anim,lawns,n,Inanim
helped with Dorrie's windows,Dorrie's windows,S,Dorrie,Def-pn,n,Anim,windows,n,Inanim
that's when I said I wouldn't take anybody else's dog for a walk (laughing),anybody else's dog,S,anybody else,Indef,n,Anim,dog,n,Anim
and he took off round dad's house .,dad's house .,S,dad,Def-pn,n,Anim,house,n,Inanim
and I hopped across Cherry's garden and .,Cherry's garden and .,S,Cherry,Def-pn,n,Anim,garden,n,Inanim
so I put him in the boot of my car after that,the boot of my car,OF,my car,Def,n,Inanim,the boot,n,Inanim
oh you have a look in Henry's bed in the bedroom,Henry's bed,S,Henry,Def-pn,n,Anim,bed,n,Inanim
you could have to look up Henry's relatives,Henry's relatives,S,Henry,Def-pn,n,Anim,relatives,n,Anim
once your kids go off to high school that's the turning of another,the turning of another page,OF,another page,Indef,n,Inanim,the turning,n,Inanim
Barry's bad back they do . help,Barry's bad back,S,Barry,Def-pn,n,Anim,bad back,n,Inanim
he's in form two but he's at the lower end of the age scale for,the lower end of the age scale,OF,the age scale,Def,n,Inanim,the lower end,n,Inanim
twelve in the middle of June which means he won't be thirteen until halfway through his,the middle of June,OF,June,Def-pn,n,Inanim,the middle,n,Inanim
<> and if I wake up on in the middle of the night I lie there and listen,the middle of the night,OF,the night,Def,n,Inanim,the middle,n,Inanim
cos in the middle of the night you hear some really unusual things .,the middle of the night,OF,the night,Def,n,Inanim,the middle,n,Inanim
you know play round with other people's minds <mm>,other people's minds <mm>,S,other people,Indef,n,Anim,minds,n,Inanim
and I stayed at school till the s . end of the sixth form -,the s . end of the sixth form -,OF,the sixth form,Def,n,Inanim,the end,n,Inanim
and Christine's the manageress of this wee takeaway bar <oh wow> so I'm .,the manageress of this wee takeaway bar,OF,this wee takeaway bar,Def,n,Inanim,the manageress,n,Anim
I've . just had . the biggest thrill of my life in the school holidays,the biggest thrill of my life,OF,my life,Def,n,Inanim,the biggest thrill,n,Inanim
um - oh with being on a benef a invalid's benefit we don't get very much money <mm> .,a invalid's benefit,S,a invalid,Indef,n,Anim,benefit,n,Inanim
and they've um put up all the price of our houses .,the price of our houses .,OF,our houses,Def,n,Inanim,the price,n,Inanim
to try and help get people's um . houses back it with electricity <mm> -,people's um . houses,S,people,Indef,n,Anim,houses,n,Inanim
can't remember the name of what you call them . apprenticeships,the name of what you call them .,OF,what you call them,Def,n,Inanim,the name,n,Inanim
ring up all round and my brothers all used to knock off the carpentering and the building what they were doing and Dad's staff and away they'd go down and .,Dad's staff,S,Dad,Def-pn,n,Anim,staff,n,Anim
be on the deck of the boat .,the deck of the boat .,OF,the boat,Def,n,Inanim,the deck,n,Inanim
yeah . and all that was pine trees along the edge of the beach the beach was at .,the edge of the beach,OF,the beach,Def,n,Inanim,the edge,n,Inanim
and then up on the top of the hill .,the top of the hill .,OF,the hill,Def,n,Inanim,the top,n,Inanim
end of the playground used to be some bluegums down the end of the playground and a bit of . about .,the end of the playground,OF,the playground,Def,n,Inanim,the end,n,Inanim
just over the length of the football field away and we used to have all our horses tied down there .,the length of the football field,OF,the football field,Def,n,Inanim,the length,n,Inanim
the one that's . was at the end of the tennis courts .  I,the end of the tennis courts .,OF,the tennis courts,Def,n,Inanim,the end,n,Inanim
the other end of Harley's Road . the main road .,the other end of Harley's Road .,OF,Harley's Road,Def-pn,n,Inanim,the other end,n,Inanim
and compared with today's standards,today's standards,S,today,Def,n,Inanim,standards,n,Inanim
and he could continue on to the end of the year  <so>,the end of the year,OF,the year,Def,n,Inanim,the end,n,Inanim
and we were opening a new s~ Woolworths on the opposite side of the road  I,the opposite side of the road,OF,the road,Def,n,Inanim,the opposite side,n,Inanim
so I took that off him and and Owen's cricket helmet was still here with em with the perspex visor .,Owen's cricket helmet,S,Owen,Def-pn,n,Anim,cricket helmet,n,Inanim
and he seemed to go down very quickly all in the space of an hour so,the space of an hour so,OF,an hour,Indef,n,Inanim,the space,n,Inanim
that he began to accept his mother's loss better -,his mother's loss,S,his mother,Def,n,Anim,loss,n,Inanim
but anyway he was Joe's friend wasn't he Joe?,Joe's friend,S,Joe,Def-pn,n,Anim,friend,n,Anim
the chances of the re .,the chances of the re . growth,OF,the regrowth,Def,n,Inanim,the chances,n,Inanim
I can always tell by people's . eyes . <right>,people's . eyes . <right>,S,people,Indef,n,Anim,eyes,n,Inanim
cos it's New Zealand's water,New Zealand's water,S,New Zealand,Def-pn,n,Inanim,water,n,Inanim
cos it's the feeling of the people that he's after -,the feeling of the people,OF,the people,Def,n,Anim,the feeling,n,Inanim
and the feeling of the people is they want an inquiry into what happened,the feeling of the people,OF,the people,Def,n,Anim,the feeling,n,Inanim
um sort of look after the people of New Zealand . and they didn't want anything for themselves but it's not like that at all -,the people of New Zealand .,OF,New Zealand,Def-pn,n,Inanim,the people,n,Anim
they're not worrying about the people of New Zealand as long as the ah . pay cheque's alright <mmm>,the people of New Zealand,OF,New Zealand,Def-pn,n,Inanim,the people,n,Anim
I'd like to see them on the end of a queue - I really would -,the end of a queue -,OF,a queue,Indef,n,Inanim,the end,n,Inanim
for the leader of the country .,the leader of the country .,OF,the country,Def,n,Inanim,the leader,n,Anim
they wouldn't? like a pack of kids sitting on their toys in the middle of the room .,the middle of the room .,OF,the room,Def,n,Inanim,the middle,n,Inanim
so . < > the face of the city has changed but all the banks used to be in Hereford Street .,the face of the city,OF,the city,Def,n,Inanim,the face,n,Inanim
but when I ah decided to have a dog I wanted something small because of the size of the section,the size of the section,OF,the section,Def,n,Inanim,the size,n,Inanim
the ah top of grass and threw it up into this .,the . the ah top of grass,OF,grass,Indef,n,Inanim,the top,n,Inanim
yeah they do . and the sharing of the telephone and -,the sharing of the telephone and -  the car and all these bits and pieces .,OF,the telephone and the car and all these bits and pieces,Def,n,Inanim,the sharing,n,Inanim
. so I applied for the secretary's job cos that's what I had always done,the secretary's job,S,the secretary,Def,n,Anim,job,n,Inanim
secretary's job come up   . the,. the secretary's job,S,the secretary,Def,n,Anim,job,n,Inanim
. would you be interested in the swimming co-ordinator's job,the swimming co-ordinator's job,S,the swimming coordinator,Def,n,Anim,job,n,Inanim
. cos I used to watch the aquacise . see and I used to go to Pat's classes and,Pat's classes,S,Pat,Def-pn,n,Anim,classes,n,Inanim
. particularly in the last year of college . because we were the last girls there,the last year of college .,OF,college,Indef,n,Inanim,the last year,n,Inanim
yeah so going from . you know I'm starting at the other end of my life doing things you see because I I got,the other end of my life,OF,my life,Def,n,Inanim,the other end,n,Inanim
just just to take the role of the parents now because the children can't . don't get on with them,the role of the parents now,OF,the parents,Def,n,Anim,the role,n,Inanim
next week it's somebody else's turn to,somebody else's turn,S,somebody else,Indef,n,Anim,turn,n,Inanim
a cyst . that burst in her stomach the size of a football,the size of a football,OF,a football,Indef,n,Inanim,the size,n,Inanim
child of a . Irish Catholic farmer . who lived in . South Canterbury um,the . child of a . Irish Catholic farmer . who lived in . South Canterbury um,OF,a Irish Catholic farmer who lived in South Canterbury,Indef,n,Anim,the child,n,Anim
no right okay yes . ah well um my father's father -,my father's father -,S,my father,Def,n,Anim,father,n,Anim
ah to ah to Austra ah to a friend's place . and .,a friend's place .,S,a friend,Indef,n,Anim,place,n,Inanim
so we fell into one another's arms as the ah .,one another's arms,S,one another,Indef,n,Anim,arms,n,Inanim
her . father's parents come from,her . father's parents,S,her father,Def,n,Anim,parents,n,Anim
Uncle Jack and Aunty Margaret now that's mum's - brother and sister,mum's - brother and sister,S,mum,Def-pn,n,Anim,brother and sister,n,Anim
very disappointed and I know that step . dad's brother will be too . so but um . so I'm just praying that nothing happens,dad's brother,S,dad,Def-pn,n,Anim,brother,n,Anim
no well like I said the power of positive thinking - so,the power of positive thinking -,OF,positive thinking,Indef,n,Inanim,the power,n,Inanim
but like um . like Brad's wife said she hasn't got grey hair like Brad has - so . but no . okay,Brad's wife,S,Brad,Def-pn,n,Anim,wife,n,Anim
oh for god's sake,god's sake,S,god,Def-pn,n,Anim,sake,n,Inanim
go over the other side of the river and you're in New South Wales -,the other side of the river,OF,the river,Def,n,Inanim,the other side,n,Inanim
I got the shock of my life when I got one got an invitation to go to her party .   the,the shock of my life,OF,my life,Def,n,Inanim,the shock,n,Inanim
and that < > oh I don't know where they went to but after that but Nanny's ornaments really caught my eye .   and,Nanny's ornaments,S,Nanny,Def-pn,n,Anim,ornaments,n,Inanim
yes the first four years of my life I lived up at Lake Kaniere .,the first four years of my life,OF,my life,Def,n,Inanim,the first four years,n,Inanim
yes we lived up there for . for the first four years of my life,the first four years of my life,OF,my life,Def,n,Inanim,the first four years,n,Inanim
h he was lucky because a logging truck was going down a logging road and he saw the flash of colour in the bush .,the flash of colour,OF,colour,Indef,n,Inanim,the flash,n,Inanim
eighteen fifty I think and it had been the mayor's residence and it was very dilapidated and . run down when .,the mayor's residence,S,the mayor,Def,n,Anim,residence,n,Inanim
polish it . I can remember the smell of the polish .,the smell of the polish .,OF,the polish,Def,n,Inanim,the smell,n,Inanim
and we had very big . there were two rooms that were very big rooms . I mean they were . one had been the ballroom . it had been the mayor's residence .,the mayor's residence .,S,the mayor,Def,n,Anim,residence,n,Inanim
but it was an ancient house and it had a big back veranda which was all enclosed li . a bit like today's conservatory -,today's conservatory -,S,today,Def,n,Inanim,conservatory,n,Inanim
to lock the ca house up to go down to the back section back of the section -,the back section back of the section -,OF,the section,Def,n,Inanim,the back section back,n,Inanim
my husband's father was my boss . and that's how I met him you see .,my husband's father,S,my husband,Def,n,Anim,father,n,Anim
and the fact too that my husband's .,my husband's . father,S,my husband,Def,n,Anim,father,n,Anim
father come up here to take over the manager of the workshops at Addington -,the manager of the workshops,OF,the workshops,Def,n,Inanim,the manager,n,Anim
mmm hmm . yeah so um . my oldest girl's boyfriend he .,my oldest girl's boyfriend,S,my oldest girl,Def,n,Anim,boyfriend,n,Anim
the editor of The Press to come out and talk to the class .,the editor of The Press,OF,The Press,Def-pn,n,Inanim,the editor,n,Anim
the only the only thing we'll do for you we'll pay your first year's fees .,your first year's fees .,S,your first year,Def,n,Inanim,fees,n,Inanim
we've got oh my cousin's . three children are up here at Canterbury University? -,my cousin's . three children,S,my cousin,Def,n,Anim,three children,n,Anim
for ten days . in August the end of July .,the end of July .,OF,July,Def-pn,n,Inanim,the end,n,Inanim
this year . or beginning of next year . he's twenty,beginning of next year .,OF,next year,Def,n,Inanim,beginning,n,Inanim
yeah cos we were going to go up for your mum and dad's .  twenty,your mum and dad's .  twenty fifth wedding anniversary,S,your mum and dad,Def,n,Anim,twenty fifth wedding anniversary,n,Inanim
Nelson in Grandad's car which was a real ordeal in itself,Grandad's car,S,Grandad,Def-pn,n,Anim,car,n,Inanim
truck on the way you know what Grandad's driving's like .,Grandad's driving's,S,Grandad,Def-pn,n,Anim,driving,n,Inanim
felt there was any danger with Dad's driving - oh .,Dad's driving -,S,Dad,Def-pn,n,Anim,driving,n,Inanim
yeah that's right . but but Jim you know the black and white one Darren's cat .,Darren's cat .,S,Darren,Def-pn,n,Anim,cat,n,Anim
had occupied the rock of another one and he didn't like,the rock of another one,OF,another one,Indef,n,Anim,the rock,n,Inanim
and the caravan of the car was literally sliding off the road,the caravan of the car,OF,the car,Def,n,Inanim,the caravan,n,Inanim
so ahh . we went through school together and one another's bridesmaids and everything,one another's bridesmaids,S,one another,Indef,n,Anim,bridesmaids,n,Anim
Lea's father and he died last year .,Lea's father,S,Lea,Def-pn,n,Anim,father,n,Anim
no . <oh> he um brought Ivan's pay round .,Ivan's pay,S,Ivan,Def-pn,n,Anim,pay,n,Inanim
